sgt_uniqueid,sgt_rank,sgt_dept,sgt_suprank,sgt_supdept,sup_uniqueid,sgt_deptid,sgt_male,sgt_white,sgt_tenure,sgt_politics,sgt_education,sgt_age,sgt_socialdominance1,sgt_socialdominance2,sgt_socialdominance3,sgt_socialdominance4,sgt_socialdominance5,sgt_socialdominance6,sgt_socialdominance7,sgt_selfevaluation1,sgt_selfevaluation2,sgt_selfevaluation3,sgt_selfevaluation4,sgt_selfevaluation5,sgt_selfevaluation6,sgt_selfevaluation7,sgt_selfevaluation8,sgt_selfevaluation9,sgt_selfevaluation10,sgt_selfevaluation11,sgt_selfevaluation12,sgt_fto_intfair1,sgt_fto_intfair2,sgt_fto_intfair3,sgt_fto_intfair4,sgt_fto_intfar5,sgt_fto_intfair6,sgt_fto_understoodneeds,sgt_ftogender,sgt_ftowhite,sgt_orgfair1,sgt_orgfair2,sgt_orgfair3,sgt_orgfair4,sgt_orgfair5,sgt_servlead1,sgt_servlead2,sgt_servlead3,sgt_servlead4,sgt_servlead5,sgt_servlead6,sgt_servlead7,sgt_psm5,sgt_occid2,sgt_psm1,sgt_occid1,sgt_occid3,sgt_psm2,sgt_occid4,sgt_psm4,sgt_psm3,sgt_supethguid1,sgt_supethguid2,sgt_supethguid3,sgt_supethguid4,sgt_supethguid5,sgt_strenuousexerciseweekly,sgt_moderateexerciseweekly,sgt_mildexerciseweekly,sgt_intfair1,sgt_intfair2,sgt_intfair3,sgt_intfair4,sgt_intfair5,sgt_intfair6,sgt_diversityclimate1,sgt_diversityclimate2,sgt_diversityclimate3,sgt_diversityclimate4,sgt_diversityclimate5,sgt_leaderintegrity1,sgt_leaderintegrity2,sgt_leaderintegrity3,sgt_leaderintegrity4,sgt_commdiversity1,sgt_commdiversity2,sgt_commdiversity3,sgt_commdiversity4,sgt_commdiversity5,sgt_monitored1,sgt_monitored2,sgt_monitored3,sgt_monitored4,sgt_monitored5,sgt_contactpressure,sgt_arrestpressure,sgt_policeasproblem,sgt_publicagree,sgt_publictruth,sgt_publichideinfo,sgt_homesafe,sgt_familyconcern,sgt_physicalharm,sgt_legalliability,sgt_verbalconfrontation,sgt_not applicable,sgt_morale_1,sgt_morale_2,sgt_morale_3,sgt_morale_4,sgt_morale_5,sgt_morale_6,sgt_proc_polic_5,sgt_empower_1,sgt_org_id_1,sgt_empower_2,sgt_comm_citizen_1,sgt_org_id_2,sgt_sgt_effective,sgt_empower_12,sgt_unit_politics_4,sgt_report_force_1,sgt_empower_3,sgt_felt_account_4,sgt_work_helps_comm_2,sgt_lt_effective,sgt_unit_politics_1,sgt_rule_bend_1,sgt_work_helps_comm_1,sgt_proc_polic_2,sgt_force_policy_2,sgt_empower_11,sgt_proc_polic_1,sgt_sgt_incivil_1,sgt_sgt_incivil_2,sgt_sgt_incivil_4,sgt_comm_citizen_3,sgt_empower_7,sgt_report_force_2,sgt_rule_bend_2,sgt_org_id_4,sgt_force_policy_1,sgt_force_policy_3,sgt_sgt_care_wellbeing,sgt_sgt_fail_to_notice,sgt_sgt_proud_mywork,sgt_lt_care_wellbeing,sgt_lt_fail_to_notice,sgt_lt_proud_mywork,sgt_lt_incivil_1,sgt_lt_incivil_2,sgt_lt_incivil_4,sgt_empower_4,sgt_rule_bend_3,sgt_proc_polic_3,sgt_rule_bend_4,sgt_comm_citizen_2,sgt_observed_excluded,sgt_observed_discrimated,sgt_you_excluded,sgt_you_discrimated,sgt_empower_9,sgt_different_myvisible_1,sgt_org_id_3,sgt_different_myvalues_2,sgt_empower_10,sgt_different_myeducation_3,sgt_proc_polic_4,sgt_career_regret,sgt_career_recommend,sgt_career_satisfaction,sgt_unit_listen,sgt_unit_reliable,sgt_burnout_1,sgt_felt_account_1,sgt_unit_politics_2,sgt_comm_citizen_4,sgt_felt_account_2,sgt_felt_account_3,sgt_woman_handle_duties,sgt_woman_not_suitable,sgt_woman_just_as_good,sgt_female_employee_preferential,sgt_minority_employee_preferential
3090_349_146,Sergeant,D9Post5Athens,Lieutenant,D9 Post 5 Athens,3089_585_146,146,1,1,16,1,4,41,3,1,5,5,2,1,4,4,2,4,4,4,4,4,2,4,4,4,2,3,2,1,4,2,4,3,2,473,1,2,1,3,1,4,4,4,3,4,4,5,4,5,5,4,5,5,4,5,5,3,3,4,4,4,3,1,2,4,4,3,3,3,4,5,1,5,5,5,4,4,4,4,5,1,5,5,5,4,5,4,4,3,5,5,3,2,5,1,3,4,3,3,4,351,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3094_349_146,Sergeant,D9Post5Athens,Lieutenant,D9 Post 5 Athens,3089_585_146,146,1,1,20,1,2,47,1,1,2,3,4,4,3,4,4,4,3,3,4,3,2,2,2,4,3,2,3,2,5,4,3,3,2,473,2,2,1,3,2,3,3,3,3,3,3,3,3,3,4,4,4,4,3,4,3,3,3,4,3,4,2,5,2,3,4,3,4,3,4,4,2,4,4,3,3,3,3,3,4,2,4,3,2,4,4,4,4,4,4,5,4,4,3,3,3,2,2,3,4,301,4,3,3,5,3,3,4,4,4,5,4,5,8,4,3,5,3,4,4,7,3,3,4,5,2,4,5,1,1,2,4,4,5,3,4,3,2,1,2,4,1,2,4,2,1,2,4,3,1,3,4,0,0,0,0,3,3,4,4,4,3,4,3,4,38,15,16,2,5,1,3,3,4,5,1,5,3,3
3119_456_147,Sergeant,D9Post71Chillicothe,Lieutenant,D9 Post 71 Chillicothe,3118_585_147,147,1,1,19,2,3,49,4,3,3,3,4,3,3,4,2,4,2,4,3,4,2,2,3,4,1,4,4,4,4,4,3,4,2,473,2,2,2,3,2,4,4,3,4,4,4,4,4,4,4,5,4,4,5,4,4,4,4,4,4,4,NA,NA,5,2,4,4,4,4,3,5,1,4,3,4,4,4,4,4,4,1,3,4,4,3,3,4,4,4,3,3,4,3,3,2,4,4,2,4,3,333,3,4,3,4,2,4,4,5,4,5,3,4,5,5,3,5,3,4,3,5,4,2,4,4,3,2,4,1,1,3,4,4,4,3,4,2,5,2,3,3,4,4,2,1,1,4,2,2,1,2,4,0,0,1,0,5,4,4,5,5,3,4,5,4,39,15,15,2,5,4,3,4,4,3,3,4,4,4
3108_456_147,Sergeant,D9Post71Chillicothe,Lieutenant,D9 Post 71 Chillicothe,3118_585_147,147,NA,NA,NA,NA,NA,NA,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,2,473,4,4,4,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,1,3,4,4,4,4,4,4,4,2,4,4,4,4,4,4,4,4,2,4,4,4,4,4,4,4,4,3,3,5,3,5,1,5,5,5,4,5,344,3,5,4,5,3,4,4,5,5,5,3,5,8,5,1,4,5,5,5,8,1,2,5,5,2,5,5,1,1,1,4,4,2,2,4,2,3,4,2,4,2,2,4,1,1,1,4,2,2,2,4,0,0,0,0,4,2,4,3,4,2,4,1,1,37,17,17,2,4,2,3,2,2,2,4,4,3,3
3124_456_147,Sergeant,D9Post71Chillicothe,Lieutenant,D9 Post 71 Chillicothe,3118_585_147,147,1,1,13,1,4,41,3,2,5,4,4,4,5,4,4,4,2,4,3,4,1,3,2,4,2,4,4,4,4,4,4,4,2,473,3,2,2,4,4,4,4,4,4,4,4,4,3,4,4,3,4,4,4,4,4,3,3,4,4,5,3,0,0,4,4,4,4,5,5,4,2,4,4,4,4,4,4,4,4,2,4,4,3,4,5,4,4,3,3,2,5,2,2,3,5,5,5,5,3,340,3,4,3,5,2,2,4,5,3,4,2,4,8,5,2,5,4,4,3,5,2,1,3,5,2,4,5,2,2,2,2,4,4,4,4,2,2,4,2,4,4,3,3,1,1,1,4,4,1,2,4,0,0,0,0,2,2,4,3,5,5,4,5,5,38,15,15,5,5,2,3,4,4,2,3,5,2,2
3129_366_148,Sergeant,D9Post73Portsmouth,Lieutenant,D9 Post 73 Portsmouth,3130_514_148,148,1,1,28,1,2,47,2,2,5,4,3,2,4,3,4,4,2,5,4,5,1,3,5,4,2,1,1,1,1,2,1,1,2,473,4,4,2,2,3,2,3,2,1,4,4,3,2,4,4,4,5,4,3,4,4,2,3,3,4,4,2,1,4,3,3,3,2,2,2,4,2,4,4,4,3,3,3,3,2,4,2,2,2,4,4,3,4,3,5,5,4,3,3,3,3,4,5,4,5,290,2,4,3,5,2,3,5,5,4,5,4,5,5,4,3,5,3,4,4,1,4,2,4,5,3,3,5,3,4,3,4,4,4,3,4,3,3,3,2,3,1,5,1,4,4,4,2,3,3,2,4,0,0,0,0,4,2,3,4,4,4,3,2,4,38,14,14,4,4,4,2,4,3,4,2,4,3,3
3147_366_148,Sergeant,D9Post73Portsmouth,Lieutenant,D9 Post 73 Portsmouth,3130_514_148,148,1,1,14,2,4,48,1,1,5,4,2,2,4,3,4,4,2,4,3,4,2,3,2,4,2,4,4,4,4,4,4,4,2,473,2,2,2,4,2,3,3,3,3,4,3,4,4,4,4,4,4,4,4,4,4,2,2,3,4,4,2,2,2,4,4,4,4,4,4,4,1,4,4,4,4,4,4,4,4,2,4,3,3,3,3,3,3,3,4,4,4,3,3,3,4,5,2,4,4,321,3,2,3,5,2,2,4,5,5,5,4,4,6,4,3,4,4,4,4,5,2,1,4,4,2,4,4,1,1,1,3,4,3,2,4,2,2,2,2,4,2,2,4,1,1,1,4,2,2,2,4,0,0,0,0,3,2,4,2,4,3,4,4,4,38,16,17,2,4,2,3,3,2,4,2,4,3,3
3134_366_148,Sergeant,D9Post73Portsmouth,Lieutenant,D9 Post 73 Portsmouth,3130_514_148,148,1,1,25,1,3,48,3,3,3,5,1,1,1,1,4,2,4,5,5,5,1,5,5,4,3,4,4,4,4,4,4,4,2,473,5,5,5,5,1,4,4,4,4,4,4,2,4,4,5,4,4,5,4,5,5,3,3,3,3,2,1,1,1,2,3,3,2,3,4,5,1,5,5,3,2,2,2,2,4,2,4,4,3,3,3,3,3,3,5,5,5,5,4,4,3,3,2,4,4,330,3,3,2,4,2,5,5,5,5,3,5,5,5,3,3,3,3,3,3,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,1,1,1,5,5,5,3,3,3,3,3,0,0,0,0,3,3,3,3,3,3,3,1,3,35,15,15,4,3,3,3,3,3,3,3,3,5,5
3145_366_148,Sergeant,D9Post73Portsmouth,Lieutenant,D9 Post 73 Portsmouth,3130_514_148,148,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,2,2,3,5,4,3,3,4,8,5,2,1,5,4,3,2,2,2,2,4,2,3,4,1,1,1,3,4,4,1,4,2,3,4,2,4,2,4,2,3,2,2,4,2,2,2,4,0,0,0,0,4,1,4,3,3,3,3,2,2,37,16,16,3,5,2,3,5,5,3,2,4,4,4
3163_461_151,Sergeant,District1Headquarters,Lieutenant,District 1 Headquarters,3164_598_151,151,1,1,18,1,2,37,4,3,2,4,3,3,3,4,3,4,4,4,4,4,4,4,2,4,2,3,2,3,4,3,4,4,2,474,2,4,2,4,3,4,4,4,4,4,4,4,3,4,4,5,4,4,4,4,3,3,3,3,3,3,5,NA,NA,4,4,3,4,4,4,4,2,4,4,4,4,4,4,4,4,2,4,4,4,3,4,3,4,3,5,4,4,3,4,2,2,3,3,3,3,328,3,5,3,3,2,3,3,4,4,4,2,4,7,3,4,4,4,4,4,4,2,2,3,4,2,4,4,3,2,3,3,4,4,4,4,4,4,5,2,4,4,3,3,2,1,3,4,3,3,2,4,0,0,0,0,3,2,4,2,3,2,4,4,4,38,16,16,3,4,2,3,4,2,3,3,4,4,4
3166_461_152,Sergeant,District2Headquarters,Lieutenant,District 1 Headquarters,3164_598_151,152,1,0,12,2,2,35,2,2,4,4,2,2,4,4,4,4,3,4,3,4,3,4,2,4,3,2,2,3,3,3,3,2,2,473,3,3,3,3,3,4,3,4,4,4,3,4,4,3,5,4,5,4,4,4,4,2,3,4,5,4,3,NA,NA,4,4,4,4,4,4,4,2,4,4,4,4,4,4,4,3,3,3,3,3,2,2,2,2,2,1,1,4,3,3,3,3,4,3,4,2,309,3,3,4,4,3,4,4,4,4,4,3,4,9,4,4,4,4,4,4,6,3,3,3,5,3,3,4,1,1,1,3,4,4,4,4,3,3,5,2,4,2,3,3,1,1,2,4,4,2,3,3,0,0,0,0,4,3,3,3,4,3,4,4,4,38,16,16,3,4,3,3,3,3,4,2,4,3,3
3172_461_153,Sergeant,District3Headquarters,Lieutenant,District 1 Headquarters,3164_598_151,153,1,1,15,1,2,36,4,2,3,2,3,4,3,4,3,4,1,4,2,4,1,4,3,4,1,3,3,3,4,3,4,3,2,473,4,4,4,4,4,4,4,4,3,4,3,4,4,4,4,4,4,4,3,4,4,1,3,3,3,3,6,4,4,3,4,4,4,4,4,4,1,3,4,4,4,4,4,4,3,3,3,3,3,3,4,4,4,4,1,1,5,3,4,3,4,4,2,3,3,323,3,4,4,4,3,3,3,4,4,4,4,4,8,4,4,4,4,3,4,5,2,2,3,4,2,4,4,1,1,1,3,4,4,2,3,2,4,4,2,4,3,3,3,1,1,1,4,2,2,2,4,0,0,0,0,3,1,1,1,4,3,4,4,4,38,15,16,1,4,2,1,2,2,4,1,4,3,3
3189_461_155,Sergeant,District5Headquarters,Lieutenant,District 1 Headquarters,3164_598_151,155,1,1,20,2,2,52,3,2,2,4,4,3,4,4,4,4,4,4,4,4,2,4,2,4,2,3,2,3,3,3,2,3,2,473,3,3,3,3,3,4,4,4,4,5,4,4,4,4,4,4,3,4,4,4,4,3,3,3,4,3,2,1,4,4,5,4,5,5,5,4,2,4,4,4,5,4,4,4,4,2,3,3,2,3,3,3,3,3,1,1,4,2,3,4,3,3,2,3,3,317,3,4,3,4,3,4,5,5,4,5,4,4,8,4,3,5,4,4,4,7,2,1,5,5,3,4,5,2,2,2,3,4,3,3,4,2,3,2,2,4,4,2,4,2,2,2,4,3,1,3,4,0,0,0,0,4,3,4,2,5,2,5,3,4,38,16,16,2,4,2,3,2,3,4,2,4,3,3
3193_328_156,Sergeant,District6Headquarters,Staff Lieutenant,District 6 Headquarters,3194_509_156,156,0,0,25,2,1,44,1,1,1,NA,1,1,1,4,1,1,1,1,1,5,1,4,3,1,1,5,5,5,5,5,5,5,2,473,3,1,1,NA,NA,2,2,2,3,5,3,2,1,4,4,2,4,5,2,1,2,1,1,1,1,1,2,7,0,3,5,4,3,3,3,4,5,2,1,1,3,3,3,3,4,4,2,2,2,1,NA,NA,NA,NA,5,5,4,3,4,4,2,2,2,4,4,227,5,5,5,5,5,5,5,5,4,4,5,5,8,5,4,5,3,5,4,8,3,2,4,5,5,3,5,1,1,1,1,4,5,3,5,1,2,5,NA,5,5,1,5,1,1,NA,4,3,1,3,4,1,1,1,1,5,5,4,3,5,5,5,5,4,39,16,16,2,5,2,1,4,2,5,1,5,1,1
3199_461_157,Sergeant,District7Headquarters,Lieutenant,District 1 Headquarters,3164_598_151,157,1,1,26,1,4,52,1,1,1,2,3,4,5,3,3,3,3,4,4,4,2,3,3,4,3,1,1,1,3,2,1,1,2,473,2,1,5,4,2,4,3,3,3,4,3,5,3,4,4,4,4,4,3,4,4,1,3,4,4,4,5,NA,2,4,4,4,4,4,4,4,1,4,4,4,4,4,4,4,3,3,3,3,3,3,4,4,4,3,3,2,4,3,3,2,2,2,3,3,3,298,2,3,3,3,2,4,4,4,4,5,4,4,7,4,2,5,4,4,4,5,2,1,4,5,1,4,5,1,1,2,3,4,4,2,3,2,2,4,3,4,3,3,3,2,1,2,4,2,1,1,5,0,0,0,0,4,2,3,3,4,3,4,2,4,38,15,15,2,4,3,2,2,2,4,2,4,4,4
3208_461_158,Sergeant,District8Headquarters,Lieutenant,District 1 Headquarters,3164_598_151,158,0,1,21,4,1,44,1,1,5,5,4,2,5,3,3,3,1,4,1,5,2,5,2,5,1,4,3,3,5,4,4,3,2,473,1,3,1,2,2,4,4,4,4,4,4,5,3,4,3,4,3,4,3,4,3,1,3,5,5,5,2,1,NA,3,5,5,5,5,5,4,1,4,4,4,5,5,5,5,4,2,4,4,3,3,5,5,5,5,4,4,4,4,4,4,1,2,3,3,2,327,4,4,3,4,3,3,4,4,4,5,2,3,8,4,3,3,3,3,3,8,1,2,3,4,2,3,3,1,1,1,2,4,3,3,3,3,3,3,2,4,3,2,3,1,1,1,3,3,3,3,3,0,0,0,0,2,2,3,2,3,3,3,4,3,38,15,16,2,4,2,2,2,2,4,2,4,4,4
3235_370_161,Sergeant,ExpoCenter,Lieutenant,Expo Center,3242_501_161,161,NA,NA,29,NA,NA,48,1,1,1,5,5,1,5,2,4,3,4,5,4,3,4,4,4,4,3,1,1,1,1,1,3,1,2,473,1,1,1,4,4,3,3,3,4,4,3,4,3,5,5,5,5,5,3,5,5,3,3,3,3,3,0,3,3,4,4,4,4,4,4,5,1,5,5,5,4,4,4,4,4,2,3,4,4,4,5,5,4,4,1,1,4,4,3,3,2,2,3,3,3,315,3,5,3,4,3,5,4,5,5,4,3,5,8,5,5,5,4,5,4,5,5,2,4,5,2,3,4,3,3,3,3,5,4,4,4,2,2,5,2,5,3,3,3,2,2,2,3,4,2,4,4,0,0,0,0,5,3,4,5,5,3,4,5,5,38,15,15,2,5,4,3,3,3,4,2,4,3,3
3257_370_161,Sergeant,ExpoCenter,Lieutenant,Expo Center,3242_501_161,161,1,0,27,2,4,54,2,2,5,3,4,2,3,2,4,5,2,4,4,5,1,4,3,5,1,4,3,5,5,4,5,4,2,473,5,2,4,4,4,2,3,4,3,4,4,4,4,5,5,5,5,4,4,4,5,3,3,3,4,3,4,2,0,3,4,4,4,4,4,5,1,5,5,5,3,3,3,4,4,1,4,4,3,4,5,3,4,4,1,1,3,4,4,2,3,3,3,4,4,347,3,3,2,4,1,2,4,5,5,5,2,3,4,5,3,5,2,4,3,8,5,2,5,4,2,2,4,3,1,3,2,4,4,3,2,3,2,3,2,3,2,2,4,1,1,1,3,2,3,2,4,0,0,0,0,4,4,4,2,4,4,4,2,2,36,16,15,2,5,4,2,4,3,4,2,4,1,1
3245_370_161,Sergeant,ExpoCenter,Lieutenant,Expo Center,3242_501_161,161,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,3,3,3,3,3,4,4,4,4,4,4,6,4,3,4,4,5,4,8,4,2,3,4,2,4,4,1,1,1,4,4,4,4,4,3,2,5,1,4,4,1,4,1,1,1,3,3,3,2,4,0,0,0,0,4,5,3,4,3,4,4,3,3,38,15,15,3,5,5,2,3,4,1,2,3,3,3
3315_448_166,Sergeant,Investigations,Staff Lieutenant,OFFICE INVESTIGATIVE SERVS,3374_445_170,166,1,1,14,3,4,37,3,1,5,5,3,1,5,4,2,4,2,4,2,4,2,2,4,4,2,4,3,3,4,4,4,4,2,474,2,4,4,4,4,2,2,2,4,2,2,5,4,4,5,4,4,4,2,2,3,3,3,4,4,3,3,2,0,3,4,4,4,3,4,4,1,4,4,3,4,4,4,4,5,1,5,5,5,3,4,3,4,4,4,2,4,3,4,2,3,4,2,4,4,333,4,4,4,4,3,4,5,5,5,5,4,5,7,4,3,4,5,4,5,7,2,2,4,5,2,5,5,2,2,2,3,4,3,2,4,1,2,4,1,4,4,1,4,1,1,2,5,1,1,1,3,0,0,0,0,2,2,5,4,5,4,5,3,3,38,16,16,2,5,2,2,4,2,2,4,4,3,3
3321_603_166,Sergeant,Investigations,Lieutenant,Investigations,3328_448_166,166,1,1,20,2,4,43,1,1,5,5,1,1,5,2,2,4,2,5,2,4,1,4,3,4,2,4,4,3,5,4,5,4,2,474,2,1,2,3,1,5,4,5,5,5,5,5,4,4,5,4,4,4,3,4,5,3,4,4,4,4,0,0,2,5,5,5,5,5,5,4,2,2,3,3,5,5,5,5,2,4,3,2,3,5,5,5,5,5,5,4,4,2,2,2,2,3,3,3,3,336,3,4,4,4,3,4,4,5,4,4,4,5,8,5,5,5,5,4,4,8,2,2,4,5,2,5,5,1,1,1,5,4,4,2,4,2,2,5,1,5,4,1,5,1,1,1,4,2,2,2,4,0,1,0,0,5,1,5,5,5,4,5,3,4,38,16,17,2,5,2,3,2,4,5,1,5,1,1
3326_603_166,Sergeant,Investigations,Lieutenant,Investigations,3328_448_166,166,1,1,21,1,2,43,3,1,4,4,3,3,3,4,4,5,3,4,4,4,2,4,3,4,2,4,4,4,5,4,5,5,2,473,2,4,4,4,3,4,4,3,3,4,3,4,4,4,4,4,4,5,3,5,5,3,4,3,4,3,2,3,5,3,4,4,4,4,4,4,1,4,4,4,4,4,4,4,4,2,4,4,4,3,4,4,3,3,1,2,4,2,3,3,4,4,2,4,3,342,4,4,4,4,4,4,4,4,5,4,5,4,8,4,2,5,4,4,4,6,1,2,4,5,2,4,4,1,1,2,3,4,4,3,4,3,3,4,2,4,4,3,3,2,2,3,4,3,2,2,4,0,0,0,0,4,2,4,2,4,2,4,3,3,38,16,16,2,4,2,2,3,3,4,2,4,3,3
3319_603_166,Sergeant,Investigations,Lieutenant,Investigations,3328_448_166,166,1,1,20,2,4,49,1,1,5,5,1,5,3,3,3,4,3,4,3,4,2,4,3,4,3,5,5,5,5,5,5,5,2,474,1,1,1,2,1,4,4,4,4,4,4,4,3,3,3,3,4,3,3,4,4,3,3,3,3,3,0,7,3,4,4,4,4,4,4,2,2,3,3,2,3,3,3,3,4,3,3,3,3,2,2,2,2,2,5,5,1,5,5,2,3,3,3,3,3,314,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3323_603_166,Sergeant,Investigations,Lieutenant,Investigations,3328_448_166,166,1,1,17,1,5,38,4,2,2,5,2,2,4,4,3,5,3,5,4,4,2,4,2,4,2,4,4,4,4,4,4,4,2,473,2,4,4,4,1,4,2,4,5,4,4,5,4,4,4,4,4,4,5,3,2,4,3,5,5,5,4,NA,1,4,4,4,5,4,4,5,1,4,4,4,5,5,5,5,3,2,3,3,3,4,4,4,4,4,5,4,4,3,2,4,1,3,2,4,2,342,2,4,2,3,2,2,4,4,4,4,2,2,8,4,2,3,2,3,3,8,2,3,3,4,3,2,4,1,1,2,2,4,3,2,3,4,4,4,2,4,4,2,4,1,1,1,2,1,2,2,3,0,0,0,0,3,1,4,2,2,4,4,1,2,36,16,16,4,4,3,1,3,2,3,2,4,3,3
3325_603_166,Sergeant,Investigations,Lieutenant,Investigations,3328_448_166,166,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3367_539_169,Sergeant,LicensingCommercialStd,Lieutenant,Licensing Commercial Std,3370_496_169,169,1,1,27,1,2,49,2,2,5,5,1,1,5,4,1,4,1,4,2,4,1,5,2,5,1,5,4,4,5,5,5,5,2,473,1,2,2,4,2,4,4,4,4,4,4,5,4,4,5,5,3,4,4,4,5,4,4,4,5,4,3,3,1,4,5,5,5,5,5,4,1,4,5,5,5,5,5,5,3,2,4,4,4,4,5,4,4,4,1,1,4,1,3,3,4,5,3,3,4,347,4,4,4,5,4,3,4,5,5,5,5,5,8,5,3,5,5,1,5,5,2,3,5,5,1,5,4,1,1,2,3,5,4,3,5,2,2,5,1,5,4,3,3,1,1,1,5,3,1,1,5,0,0,0,0,5,1,5,1,5,5,4,5,5,39,17,17,2,5,3,3,1,1,4,3,4,5,5
3413_434_177,Sergeant,OTSO,Staff Lieutenant,OTSO,3417_476_177,177,1,1,12,NA,2,34,4,1,5,3,5,5,5,4,2,3,2,4,3,4,2,5,4,5,1,5,5,5,5,5,5,5,2,473,1,2,2,3,1,4,3,4,4,4,3,4,4,4,4,3,4,4,2,3,3,4,4,4,4,4,3,0,7,5,5,5,5,5,5,5,1,5,3,3,5,5,5,5,4,2,3,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,2,3,2,305,3,4,5,5,5,5,3,5,4,4,4,3,9,5,3,5,3,3,4,9,3,2,4,4,2,4,4,1,1,2,3,5,4,3,3,2,3,1,1,3,4,2,3,1,1,1,5,3,3,3,3,0,0,0,0,4,2,3,2,4,2,3,4,2,39,15,16,1,5,1,3,2,2,3,3,3,4,4
3434_602_179,Sergeant,PlanningandAnalysis,Staff Lieutenant,Office of Planning & Finance,3397_476_173,179,1,0,12,2,2,35,3,1,2,3,2,2,4,3,4,4,4,4,5,4,2,2,3,4,2,2,2,2,3,2,2,2,2,473,2,2,3,3,2,2,1,2,1,2,2,3,3,2,4,4,4,4,4,4,3,2,2,3,3,3,2,1,2,2,3,3,3,3,2,4,2,4,4,3,3,3,3,3,4,NA,3,3,3,3,3,3,3,3,4,4,2,2,4,4,2,2,3,3,3,268,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
