POST,avgage,avgwhite,avgtenure,avgorgfarir1,avgorgfair2,avgservlead1,avgpsm1,avgintfair2,avgintfair6,avgdiversityclimate1,avgdiversityclimate3,avgcontactpressure,avgarrestpressure,avgphysicalharm,avgverbalconfrontation,avgdobserved_excluded,avgobserved_discrimated,avgyou_excluded,avgyou_discrimated,orgfair1agree,orgfair2agree,servlead2agree,psm1agree,intfair2agree,intfair6agree,diversityclimate1agree,diversityclimate3agree,diversityclimate4agree,contactpressureagree,arrestpressureagree,physicalharmagree,verbalconfrontationagree,morale_3agree,morale_4agree,empower_2agree,work_helps_comm_2agree,force_policy_2agree,comm_citizen_3agree,force_policy_3agree,career_satisfactionagree,burnout_1agree,woman_not_suitableagree
130,38,0.65,13.4375,2.333333,2.555556,3.166667,4.111111,3.611111,3.722222,3.944444,3.611111,3.444444,3,3,3.888889,0.1111111,0.1111111,0.2222222,0.2777778,0.15,0.25,0.35,0.75,0.55,0.65,0.7,0.5,0.55,0.5,0.25,0.2,0.45,0.2,0.6,0.7,0.25,0.1,0.05,0.2,0.5,0.05,0.1
131,33.875,0.5384616,11.625,3,3.5,3.375,4,3.75,3.625,4.5,3.75,2.75,2.75,3.875,3.75,0,0,0.1,0,0.2307692,0.3076923,0.3076923,0.4615385,0.3846154,0.3846154,0.6153846,0.3076923,0.1538462,0.0769231,0.0769231,0.3076923,0.3846154,0.1538462,0.4615385,0.5384616,0.6153846,0.0769231,0.1538462,0.3076923,0.2307692,0.1538462,0
132,37.27273,0.7692308,12.09091,2.090909,2.272727,3.181818,4.181818,4,3.818182,4.363636,4,3.909091,3.545455,3.181818,3.636364,0,0,0,0,0.0769231,0.1538462,0.2307692,0.7692308,0.6923077,0.5384616,0.8461539,0.6923077,0.6153846,0.5384616,0.3846154,0.3076923,0.4615385,0.3846154,0.6153846,0.6153846,0.3076923,0.1538462,0.2307692,0.3846154,0.6153846,0.0769231,0.1538462
133,36.8,0.3333333,11.4,3.4,3.2,2.6,4.2,3.4,3,4,3.8,4.5,4.5,3.75,3.25,0,0,0,0,0.25,0.1666667,0.0833333,0.3333333,0.3333333,0.1666667,0.3333333,0.25,0.25,0.25,0.25,0.1666667,0.1666667,0.1666667,0.3333333,0.6666667,0.4166667,0,0,0.0833333,0.4166667,0.1666667,0
143,38.33333,0.7333333,14.41667,2.090909,2.545455,3.454545,4.181818,3.818182,3.909091,4.363636,4.181818,3.272727,3.272727,3.272727,3.727273,0,0,0,0,0.0666667,0.2,0.3333333,0.6666667,0.4666667,0.6,0.6666667,0.6666667,0.5333334,0.2666667,0.2666667,0.2,0.3333333,0.0666667,0.4,0.5333334,0.4666667,0.0666667,0.1333333,0.1333333,0.3333333,0.0666667,0
144,40.4,1,15.4,1.555556,2,2.888889,4.444445,3.444444,3.777778,4.222222,3.666667,4.333333,4,3.111111,4,0.3333333,0.3333333,0.3333333,0.3333333,0,0.1,0.4,0.9,0.5,0.7,0.8,0.6,0.6,0.8,0.7,0.3,0.8,0.1,0.3,0.3,0.2,0.1,0.2,0.1,0.3,0,0.1
145,39.83333,0.9166667,15.91667,2.25,2.666667,3.333333,4.166667,3.916667,3.916667,4.5,4.166667,3.833333,3.333333,2.833333,3.666667,0,0,0,0,0.1666667,0.25,0.4166667,0.9166667,0.75,0.6666667,0.9166667,0.9166667,0.6666667,0.75,0.4166667,0.1666667,0.5833333,0.0833333,0.4166667,0.5,0.5,0,0.0833333,0.0833333,0.25,0.0833333,0.1666667
146,36.23077,0.8666667,12.30769,2.571429,2.642857,3.785714,4.214286,3.928571,3.928571,4.357143,3.857143,4.142857,3.928571,3.285714,3.928571,0,0,0,0,0.2666667,0.2666667,0.5333334,0.8666667,0.6666667,0.7333333,0.8666667,0.8,0.5333334,0.6666667,0.5333334,0.2666667,0.5333334,0.1333333,0.3333333,0.6,0.4,0.0666667,0.1333333,0.0666667,0.4666667,0,0
147,32.54546,0.625,8.727273,2.928571,2.714286,3.642857,4.142857,3.785714,3.785714,4.428571,4.071429,3.071429,2.642857,3,3.357143,0,0,0.0909091,0,0.25,0.1875,0.5625,0.8125,0.625,0.625,0.8125,0.75,0.625,0.25,0.125,0.1875,0.3125,0.25,0.5,0.625,0.4375,0.0625,0.1875,0.125,0.4375,0.125,0.0625
148,43.66667,0.375,15.5,2.833333,3.333333,3.166667,4.333333,3.333333,3.333333,4.333333,4,4.666667,4.666667,3.5,4.333333,0,0,0,0,0.125,0.1875,0.125,0.375,0.125,0.25,0.375,0.3125,0.3125,0.375,0.375,0.1875,0.375,0.1875,0.6875,0.6875,0.625,0.25,0.25,0.3125,0.4375,0.1875,0
